reference,value,footprint,x_mm,y_mm,rotation_deg
C44,4u7,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac5b0> >,87.0,94.0,0.0
C45,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac870> >,90.5,90.0,0.0
C46,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acd30> >,86.0,83.0,0.0
C47,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acc30> >,94.0,102.0,90.0
C48,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac5b0> >,109.0,102.0,90.0
C49,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac870> >,112.0,81.0,90.0
C50,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acd30> >,95.0,80.5,90.0
C51,10p,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acc30> >,82.0,85.0,90.0
C52,1u,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac5b0> >,88.0,97.0,0.0
C53,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac870> >,88.0,100.0,0.0
C54,10p,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acd30> >,81.0,90.0,90.0
C55,1u,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acc30> >,91.0,85.0,90.0
C56,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac5b0> >,87.0,80.0,90.0
C57,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac870> >,146.0,112.0,90.0
C58,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acd30> >,146.0,108.0,90.0
C59,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acc30> >,71.0,103.0,0.0
C60,10u,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac5b0> >,73.0,116.6,-90.0
C61,100n,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac870> >,74.0,109.0,180.0
C62,22u,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acd30> >,64.0,120.0,90.0
C63,22u,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acc30> >,67.0,120.0,90.0
D1,SD103AWS,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac5b0> >,93.0,70.0,90.0
